Fund Family,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,% Market Share,% Market Share
BlackRock Asset Management Ireland Ltd,401019703919.0,438049332289.0,401151273431.0,737664857508.0,954126144285.0,1140219834910.0,1273604510260.0,1350563145340.0,1846265314783.0,2336209738234.0,0.16602193171785454,0.16602193171785454
Goldman Sachs Asset Management Fund Services Ltd,796491678198.0,691485630487.0,760274965686.0,844025016285.0,1159972190290.0,1159064290588.0,1039735011705.0,1419355844510.0,1538614062333.0,1531113495235.0,0.11096842661811251,0.11096842661811251
Allianz Global Investors GmbH,193318080565.0,178251663997.0,266280948000.0,425339096920.0,409085020820.0,456021202426.0,741267742933.0,700371524155.0,913454119789.0,1007599401788.0,0.06147196852533507,0.06147196852533507
Franklin Templeton International Services S.à r.l.,1078794153439.0,794244966369.0,796227105613.0,740737604633.0,731131857804.0,769554493784.0,848984310207.0,653021756567.0,812143623253.0,851166825259.0,0.05199403633613682,0.05199403633613682
Allan Gray Proprietary Limited,227369877985.0,252103441674.0,285510835691.0,288937479848.0,296791336129.0,286928269215.0,322330416411.0,334428245773.0,371470253323.0,397864622499.0,0.029998265351071612,0.029998265351071612
Ninety One SA (Pty) Limited,139570629011.0,168100888478.0,179157860597.0,180869581665.0,207748953651.0,266312573275.0,322946551589.0,317063655453.0,344716476892.0,365561406823.0,0.025494978774324786,0.025494978774324786
Goldman Sachs Asset Management B.V.,61220001699.0,73276234257.0,138664811841.0,162197869445.0,181508275607.0,289548466633.0,462144194376.0,316082159842.0,337947015834.0,382139305554.0,0.025091069571752573,0.025091069571752573
Coronation Asset Management (Pty) Ltd,231589985932.0,223911672284.0,244769491993.0,233272520227.0,252765918859.0,259207196290.0,288118523385.0,273253176117.0,293950705838.0,317338521279.0,0.023240067210045963,0.023240067210045963
Fundsmith LLP,104090468987.0,154138353708.0,225592068215.0,292316459614.0,354746646095.0,473490665545.0,639200363463.0,473173896280.0,568543762863.0,546475875937.0,0.02319601750863897,0.02319601750863897
STANLIB Asset Management (Pty) Limited,123539150027.0,131549406007.0,143033511288.0,165318271954.0,179292012928.0,210037902104.0,274683443199.0,261767166605.0,268989800188.0,301223518949.0,0.02104896816797982,0.02104896816797982
Nedgroup Investments,143792346882.0,164002427924.0,192339200486.0,183546627648.0,206447749911.0,239302390982.0,267316177526.0,251606106266.0,283332170596.0,295372126423.0,0.020368691231833057,0.020368691231833057
Ninety One Luxembourg S.A.,98113770088.0,102000600381.0,46862257053.0,139932463243.0,200618405242.0,261909590611.0,325373383611.0,283106618211.0,326133496859.0,331414904426.0,0.02023916555444363,0.02023916555444363
Fidelity (FIL Inv Mgmt (Lux) S.A.),336559184999.0,270959291477.0,271752740225.0,254788541772.0,270605649679.0,277913105867.0,310930148287.0,259020741136.0,286767017397.0,293158265678.0,0.018482125890003816,0.018482125890003816
Schroder Investment Management (Europe) S.A.,49524573842.0,54729684975.0,55476546618.0,64089640944.0,71670559572.0,81717994227.0,141325971873.0,132736848198.0,194121543607.0,254355030564.0,0.016848140580293245,0.016848140580293245
PSG Collective Investments,58712345067.0,66515016530.0,82696778596.0,92610330732.0,98634548445.0,100769114806.0,130793609849.0,138514321400.0,164594052760.0,191180288175.0,0.014930520283623298,0.014930520283623298
MandG Investment Managers (Pty) Ltd,79769372951.0,89665029505.0,126589471036.0,123134555010.0,131166478983.0,120638009799.0,141810750733.0,159196691516.0,185375803384.0,184068020150.0,0.013060849397078338,0.013060849397078338
"FIL Investment Management (Luxembourg) S.A., Ireland Branch",80431772807.0,88399977710.0,90906992123.0,125347467990.0,138991779605.0,168394640407.0,196814322343.0,151964660785.0,191719021741.0,215259496343.0,0.013056862173591643,0.013056862173591643
Dodge & Cox,36501618963.0,41739511315.0,55375324047.0,84511906640.0,116362540497.0,103762597833.0,162559468968.0,143745956073.0,173475625649.0,192965356429.0,0.012294886657322463,0.012294886657322463
Old Mutual Investment Group (Pty) Limited,70862066699.0,75043187889.0,83457129565.0,82498208474.0,94367428643.0,108808246302.0,128402478786.0,123218663389.0,127050246368.0,143860713718.0,0.010089721460489696,0.010089721460489696
Sanlam Investment Management (Pty) Limited,72761865613.0,85377851160.0,99226054854.0,103541167419.0,112339249741.0,115348642831.0,137851292062.0,131818687745.0,128045355670.0,135122985032.0,0.009986981809169394,0.009986981809169394
Investec Investment Management (Pty) Ltd,19610940509.0,21196920054.0,27941462880.0,32677200022.0,41137514608.0,53880782495.0,81073416337.0,83099128266.0,107762141767.0,125890107385.0,0.009640769258877312,0.009640769258877312
SEI Investments Global Limited,54244150197.0,50900906796.0,57138724203.0,78008178147.0,83128011494.0,75794134320.0,80866920075.0,71941074002.0,91745144190.0,116517003967.0,0.009622774775814963,0.009622774775814963
T. Rowe Price (Luxembourg) Management S.à r.l.,64528112606.0,67945119584.0,95108658121.0,115639239748.0,134550610685.0,212123049037.0,260052055513.0,155507621794.0,169694235057.0,210084505363.0,0.00939446455270764,0.00939446455270764
Guinness Asset Management Limited,2989796962.0,4778388007.0,6985025993.0,11232279501.0,22266282405.0,40631500712.0,69732485187.0,92520706345.0,138982005013.0,158709721033.0,0.008801142496416295,0.008801142496416295
Guinness Asset Management Limited,26434946843.0,41026475350.0,44962246888.0,51713456897.0,58497393142.0,70021497153.0,91958865318.0,75589299796.0,106722966744.0,138938613404.0,0.00865636411969162,0.00865636411969162
Baillie Gifford Investment Management (Europe) Limited,10019493433.0,10348198440.0,12295171840.0,15331712544.0,22181889860.0,75005511786.0,150934489727.0,112621137502.0,134584940301.0,138042128484.0,0.007844700202256276,0.007844700202256276
Fundsmith Investment Services Limited,9982534106.0,13977968771.0,23257654522.0,33481145307.0,65700392584.0,102399817417.0,170853014103.0,149621966489.0,173713858472.0,170567160887.0,0.007539929822856239,0.007539929822856239
BlackRock (Luxembourg) SA,72030445850.0,72533113720.0,82115283510.0,75399332938.0,89339132736.0,89532291663.0,100981721972.0,87764696356.0,102244635105.0,119311736307.0,0.007267991295697043,0.007267991295697043
Discovery Life Investment Services (Pty) Ltd,25890715876.0,31182638473.0,39229992015.0,42137096519.0,54727979358.0,60106687119.0,78962335616.0,80608436940.0,88294929090.0,94484886142.0,0.0069143674750421725,0.0069143674750421725
Bank Julius Bär & Co. AG,13636562759.0,18395138748.0,20162521986.0,25409793552.0,31790174842.0,46713146990.0,75654681722.0,65430025498.0,88438895778.0,109175663726.0,0.006498787790825837,0.006498787790825837
"Sands Capital Management, LLC",31511565306.0,23935189281.0,33919337807.0,42647008549.0,60716057100.0,110306298550.0,150316948507.0,88437863988.0,114234366579.0,119916484260.0,0.0061256085366643625,0.0061256085366643625
Nedgroup Investments (IOM) Ltd,39735043198.0,42457847201.0,48507228093.0,47221844839.0,55013584868.0,64077726118.0,80947839430.0,78602958979.0,94739411390.0,104966036065.0,0.0060793778399441155,0.0060793778399441155
STANLIB Fund Managers Jersey Limited,64913314851.0,59798742857.0,64248864674.0,55788263286.0,62209129517.0,67266510373.0,86138977466.0,71621885778.0,81630872543.0,95882548858.0,0.00598289067874777,0.00598289067874777
Sanlam Multi Managers International (Pty) Ltd,25448838334.0,39889164597.0,68600341112.0,64208561297.0,63783922878.0,63104556877.0,66335340206.0,63713570960.0,65197845627.0,73184927027.0,0.005982781147577751,0.005982781147577751
Ashburton Fund Managers ( Pty) Ltd,9888084549.0,10975282398.0,10171932623.0,16787789697.0,25242989099.0,32004304009.0,38570747953.0,44361514704.0,58610500355.0,66813339664.0,0.005338067348764613,0.005338067348764613
Prescient Investment Management (Pty) Limited,10137604083.0,17446717907.0,28231136394.0,28362764751.0,36747591596.0,41115099840.0,42833673135.0,53335774889.0,60773060458.0,69339040875.0,0.005336088427308577,0.005336088427308577
Satrix Managers (Pty) Limited,4376307469.0,5355240472.0,8500909695.0,13916974745.0,20372916012.0,23745786650.0,37351683179.0,40078530200.0,46369598015.0,63812090051.0,0.005295213353039426,0.005295213353039426
PPS Management Company (Pty) Ltd,16553825320.0,19401093676.0,21931766464.0,24349691965.0,29272959077.0,33934214079.0,41946583140.0,50725044740.0,59981910449.0,68211898096.0,0.005053724225706251,0.005053724225706251
Fairtree Asset Management (Pty) Ltd.,3029154578.0,5046146581.0,9914037286.0,15284998590.0,26766604978.0,32099054051.0,42110046809.0,39967198136.0,44482496514.0,60524248026.0,0.005053015951787944,0.005053015951787944
Amplify Investment Partners (Pty) Ltd,4305648565.0,6116108531.0,9165451690.0,8710281674.0,11058560588.0,17860564832.0,27665833852.0,35506401190.0,47289954938.0,59964094709.0,0.004909551694304579,0.004909551694304579
M&G Securities Ltd,92541916501.0,71672850465.0,65343796725.0,60974424524.0,62086516172.0,60994313061.0,71980556362.0,65969464693.0,73198290146.0,70147534279.0,0.004469792780169229,0.004469792780169229
GQG Partners LLC,,,3093363747.0,4540756944.0,12082656100.0,23720186425.0,30399579806.0,30609011143.0,51859267712.0,72623228271.0,0.004416200144157355,0.004416200144157355
Symmetry,50399175996.0,50071351569.0,55597863185.0,49985851295.0,48778443832.0,46688985143.0,53527824087.0,48344681113.0,49242321276.0,63455145291.0,0.004337399847179319,0.004337399847179319
PSG Fund Management (Malta) Limited,1915210468.0,1511034330.0,1971521214.0,1991251334.0,1822972638.0,1706857573.0,47680933178.0,42688550416.0,54504968999.0,65237372445.0,0.0042915618378259815,0.0042915618378259815
Sanlam Asset Management (Ireland) Limited,22639860532.0,20607382262.0,27787686282.0,40458455355.0,60699782120.0,64985803178.0,79579033567.0,69710296354.0,68802980256.0,65623153739.0,0.0038825784494374584,0.0038825784494374584
Peregrine Guernsey Limited,10245064906.0,8199083810.0,11260093878.0,15414677158.0,26041250528.0,29723672692.0,38825033458.0,36076230023.0,45559688268.0,55123915397.0,0.0036587956655639237,0.0036587956655639237
PortfolioMetrix,5377117231.0,7612011180.0,10305302236.0,11316471602.0,13948117912.0,16130599427.0,22683990253.0,28397839032.0,33818307943.0,41824017687.0,0.0034834940853472446,0.0034834940853472446
