Parent Company,AUM_2015,AUM_2016,AUM_2017,AUM_2018,AUM_2019,AUM_2020,AUM_2021,AUM_2022,AUM_2023,AUM_2024,AUM_2025,NetFlow_2015,NetFlow_2016,NetFlow_2017,NetFlow_2018,NetFlow_2019,NetFlow_2020,NetFlow_2021,NetFlow_2022,NetFlow_2023,NetFlow_2024,NetFlow_2025,% Market Share,Category,2024-2025 Growth %,2020-2025 CAGR %,5Y Net Flows (2021-2025),Avg Annual Net Flow (2021-2025)
BlackRock,473050149769.0,510582446009.0,483266556941.0,813064190446.0,1043465277021.0,1229752126573.0,1374586232232.0,1438327841696.0,1948509949888.0,2455521474541.0,2752383507415.0,6123133555.0,87837745560.0,14861544762.0,28196000878.0,178089997407.0,130636283625.0,22642555153.0,-15371952513.0,390198538922.0,392975715470.0,581059194251.0,0.1732899220316223,Offshore,12.089571846627445,17.483877810426506,1371504051283.0,274300810256.6
Goldman Sachs,857711679897.0,764761864744.0,898939777527.0,1006222885730.0,1341480465897.0,1448612757221.0,1501879206081.0,1735438004352.0,1876561078167.0,1913252800789.0,2161048414286.0,132954109673.0,30636843453.0,177126625998.0,3145955042.0,327120760260.0,-87481205366.0,-72589237670.0,325217468242.0,-82155210727.0,-23147577992.0,321270101629.0,0.1360594954188982,Offshore,12.951535384911628,8.328427314379105,468595543482.0,93719108696.4
Allianz,193318080565.0,178251663997.0,266280948000.0,425339096920.0,409085020820.0,456021202426.0,741267742933.0,700371524155.0,913454119789.0,1007599401788.0,976366250242.0,41229926135.0,9415467903.0,99599282165.0,175167606219.0,-45760280735.0,-26253537483.0,212510739388.0,130348651030.0,93344484320.0,57789333108.0,52064770832.0,0.0614719681770105,Offshore,-3.099758841715894,16.446260052282046,546057978678.0,109211595735.6
Franklin Templeton,1078878292686.0,794302260188.0,796306227938.0,740831465535.0,731252078651.0,769728628239.0,849242749928.0,653825820929.0,813171223864.0,852242388878.0,827204575506.0,-216315232061.0,-195633407542.0,-29589371367.0,-88081696907.0,-62401993371.0,-90701083037.0,-20326767418.0,-27815550583.0,-43754312600.0,-61917637256.0,-51495672275.0,0.0520807569175797,Offshore,-2.9378746819860635,1.450702275182425,-205309940132.0,-41061988026.4
Ninety One,251809831774.0,286857504847.0,241992868171.0,334176516408.0,424708866244.0,549775388381.0,676084153982.0,629982446545.0,709077951819.0,746486275245.0,783842665719.0,11850685720.0,31160772712.0,-5060889841.0,6140385831.0,45811963054.0,70829833879.0,30210989147.0,-2797593646.0,-21129833303.0,-39432671904.0,-33053314037.0,0.0493506933396342,Local,5.004297026323679,7.351649273528071,-66202423743.0,-13240484748.6
Allan Gray,243604293295.0,270237529520.0,310506130634.0,316845296743.0,327022480680.0,321103598823.0,360493805264.0,377663494984.0,419677014785.0,445117759522.0,520383876800.0,-10216052899.0,13761676808.0,10921069093.0,17074746042.0,-6719426280.0,-13047357788.0,-10391474201.0,-4491645682.0,-3943476857.0,-10278268645.0,-9215544365.0,0.0327633417342623,Local,16.909259553882162,10.137631261632919,-38320409750.0,-7664081950.0
Fidelity/FIL,416990957806.0,359359269187.0,362659732348.0,380136009762.0,409597429284.0,446307746274.0,507744470630.0,410985401921.0,478486039138.0,508417762021.0,500937325594.0,5272119990.0,-15934654252.0,-25881339371.0,18131506678.0,-5671700897.0,-7826262059.0,-793920665.0,-57013398323.0,-5601310760.0,-6335135009.0,-15859043836.0,0.031538987884883,Offshore,-1.471316894450081,2.336319501484141,-85602808593.0,-17120561718.6
Fundsmith,114073003093.0,168116322479.0,248849722737.0,325797604921.0,420447038679.0,575890482962.0,810053377566.0,622795862769.0,742257621335.0,717043036824.0,488182538539.0,20933822112.0,62621068446.0,44028809241.0,47011307341.0,5517915017.0,39245513009.0,50752514250.0,-39661960410.0,-48730079149.0,-99323858504.0,-200084227510.0,0.0307359471573331,Offshore,-31.91726110313995,-3.2505582107734132,-337047611323.0,-67409522264.6
STANLIB,195736851480.0,197431141521.0,213398500808.0,228090227892.0,248655409378.0,281598334904.0,366442378741.0,340635497674.0,362411620301.0,417539297921.0,460108689678.0,-3341823135.0,1352816034.0,-1585151405.0,1688270527.0,-4621103771.0,14205866125.0,48659287206.0,-19336859879.0,-22401489494.0,9604267278.0,7983141847.0,0.0289684190976917,Local,10.195301847984206,10.317921474138124,24508346958.0,4901669391.6
Nedgroup,183527390080.0,206460275125.0,240846428579.0,230768472487.0,261461334779.0,303380117100.0,348264016956.0,330209065245.0,378071581986.0,400338162488.0,420077681669.0,27890278927.0,23971409929.0,20065499186.0,-19311927273.0,7916833388.0,23935443626.0,469671747.0,-10721277506.0,-70933703.0,-18879737070.0,-12486083990.0,0.0264480689219119,Local,4.930711341213123,6.725573885393565,-41688360522.0,-8337672104.4
Coronation,269084925124.0,258251845471.0,283492389684.0,270415270771.0,293528376856.0,309300940281.0,340405796186.0,308275125581.0,324164603955.0,350941175759.0,403805082516.0,19408008699.0,-14126605053.0,147449323.0,-3394438314.0,-9517870035.0,-8280049952.0,-10210738344.0,-20599434200.0,-28082294563.0,-14770636360.0,-602578603.0,0.0254235469282005,Local,15.06346658885731,5.477082364722907,-74265682070.0,-14853136414.0
Sanlam,123842266416.0,148992946837.0,198730689292.0,210138108612.0,238901995451.0,245611881178.0,287484982121.0,268625242596.0,265706749920.0,278035939208.0,319881127833.0,4079811475.0,20843337862.0,15022619791.0,16269793078.0,7169658950.0,-8760955755.0,5673435724.0,-16646567005.0,-31658529201.0,-25145254819.0,12997932994.0,0.0201396991197746,Local,15.050280458058118,5.426029201832838,-54778982307.0,-10955796461.4
PSG,60627555535.0,68026050860.0,84668299810.0,94601582066.0,100457521083.0,102475972379.0,178474543027.0,181202871816.0,219099021759.0,256417660620.0,305306511130.0,10387803215.0,4039102105.0,10256051956.0,10222931396.0,1871557434.0,-487014366.0,13453732034.0,8426014058.0,8704520122.0,14046131838.0,14895711611.0,0.0192220820125293,Local,19.066101138193915,24.400694144834922,59526109663.0,11905221932.6
Guinness,29424743805.0,45804863357.0,51947272881.0,62945736398.0,80763675547.0,110652997865.0,161691350505.0,168110006141.0,245704971757.0,297648334437.0,277279558183.0,817490454.0,2151125084.0,1806606038.0,3999450195.0,8188996641.0,9429971310.0,15462345343.0,28146459276.0,24372089650.0,1903054464.0,-17112616327.0,0.0174575065171867,Offshore,-6.843235421601612,20.1685812463126,52771332406.0,10554266481.2
Schroder,49524573842.0,54729684975.0,55476546618.0,64089640944.0,71670559572.0,81717994227.0,141325971873.0,132736848198.0,194121543607.0,254355030564.0,267600928302.0,-7105180845.0,7887121470.0,-4226809254.0,5907543680.0,-4880476705.0,-5799868003.0,30504008103.0,6262506493.0,26162472984.0,24421657688.0,-14003601633.0,0.016848140484825,Offshore,5.2076413462823545,26.775106328331688,73347043635.0,14669408727.0
MandG,79769372951.0,89665029505.0,126589471036.0,123134555010.0,131166478983.0,120638009799.0,141810750733.0,159196691516.0,185375803384.0,184068020150.0,207499518191.0,1258354162.0,7304494496.0,26989342006.0,41724199.0,-1144912820.0,-12817156417.0,-4136306254.0,15036272940.0,11599888581.0,-20389850514.0,-9317934212.0,0.0130641588398008,Local,12.729803918087068,11.456804038015967,-7207929459.0,-1441585891.8
